Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
99.853,0.847,213.972,1.604,195.408,0.705,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.845,214.949,1.604,194.431,0.707,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.187,245.237,2.198,194.431,1.026,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.189,246.214,2.198,196.385,1.026,70.8,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.861,264.778,1.824,245.237,0.667,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.857,264.778,1.824,246.214,0.665,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.857,263.801,1.81,245.237,0.662,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.199,296.043,2.425,245.237,0.983,70.8,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.88,316.561,2.088,293.112,0.629,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.951,0.879,315.584,2.088,295.066,0.629,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.88,315.584,2.088,293.112,0.628,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.216,344.895,2.681,294.089,0.934,70.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.215,344.895,2.681,295.066,0.934,70.8,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.916,366.39,2.381,341.964,0.611,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.912,365.413,2.381,341.964,0.607,69.8,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.252,395.701,2.967,340.987,0.908,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.252,395.701,2.967,341.964,0.906,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.247,396.678,2.967,340.987,0.9,70.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.247,396.678,2.967,341.964,0.902,70.5,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.928,417.196,2.645,390.816,0.557,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.929,417.196,2.645,389.839,0.556,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.928,416.219,2.645,389.839,0.556,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,1.272,447.484,3.275,392.77,0.855,70.2,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
99.853,0.933,469.956,2.967,443.576,0.488,69.8,Tungsten,30.0,LTCC,0,60.0,275,29.0,2.4,0.0,0
